id;title;author_user_id;video_comments;likes;dislikes
1;resupply phew interface;19337;weakness;14142;11325
2;spinach phase;18919;for;2640;27354
3;considering cleft;7101;alienated;1187;1521
4;blame as where;143;angrily miniature the;24089;2560
5;barring;6064;finally;31518;5562
6;actual;18187;debris vine on;7557;29558
7;spool inasmuch;15422;paramedic salvage;8722;1563
8;under pfft delightfully;30694;downright;17693;23630
9;teller sadly as;20909;rapidly lender;22490;24460
10;porpoise substantiate indeed;12578;sandbag;23323;8310
